date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-16,16,3,2020,6,0,Uzbekistan,UZ,32955400,6,0
2020-03-17,17,3,2020,2,0,Uzbekistan,UZ,32955400,8,0
2020-03-18,18,3,2020,8,0,Uzbekistan,UZ,32955400,16,0
2020-03-19,19,3,2020,7,0,Uzbekistan,UZ,32955400,23,0
2020-03-20,20,3,2020,0,0,Uzbekistan,UZ,32955400,23,0
2020-03-21,21,3,2020,10,0,Uzbekistan,UZ,32955400,33,0
2020-03-22,22,3,2020,0,0,Uzbekistan,UZ,32955400,33,0
2020-03-23,23,3,2020,13,0,Uzbekistan,UZ,32955400,46,0
2020-03-24,24,3,2020,3,0,Uzbekistan,UZ,32955400,49,0
2020-03-25,25,3,2020,6,0,Uzbekistan,UZ,32955400,55,0
2020-03-26,26,3,2020,10,0,Uzbekistan,UZ,32955400,65,0
2020-03-27,27,3,2020,18,0,Uzbekistan,UZ,32955400,83,0
2020-03-28,28,3,2020,21,0,Uzbekistan,UZ,32955400,104,0
2020-03-29,29,3,2020,29,1,Uzbekistan,UZ,32955400,133,1
2020-03-30,30,3,2020,12,0,Uzbekistan,UZ,32955400,145,1
2020-03-31,31,3,2020,4,1,Uzbekistan,UZ,32955400,149,2
2020-04-01,1,4,2020,24,0,Uzbekistan,UZ,32955400,173,2
2020-04-02,2,4,2020,14,0,Uzbekistan,UZ,32955400,187,2
2020-04-03,3,4,2020,3,0,Uzbekistan,UZ,32955400,190,2
2020-04-04,4,4,2020,37,0,Uzbekistan,UZ,32955400,227,2
2020-04-05,5,4,2020,39,0,Uzbekistan,UZ,32955400,266,2
2020-04-06,6,4,2020,76,0,Uzbekistan,UZ,32955400,342,2
2020-04-07,7,4,2020,55,0,Uzbekistan,UZ,32955400,397,2
2020-04-08,8,4,2020,107,0,Uzbekistan,UZ,32955400,504,2
2020-04-09,9,4,2020,51,1,Uzbekistan,UZ,32955400,555,3
2020-04-10,10,4,2020,27,0,Uzbekistan,UZ,32955400,582,3
2020-04-11,11,4,2020,42,0,Uzbekistan,UZ,32955400,624,3
2020-04-12,12,4,2020,172,1,Uzbekistan,UZ,32955400,796,4
2020-04-13,13,4,2020,69,0,Uzbekistan,UZ,32955400,865,4
2020-04-14,14,4,2020,133,0,Uzbekistan,UZ,32955400,998,4
