date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-15,15,3,2020,10,0,Venezuela,VE,28870195,10,0
2020-03-16,16,3,2020,5,0,Venezuela,VE,28870195,15,0
2020-03-17,17,3,2020,18,0,Venezuela,VE,28870195,33,0
2020-03-18,18,3,2020,0,0,Venezuela,VE,28870195,33,0
2020-03-19,19,3,2020,0,0,Venezuela,VE,28870195,33,0
2020-03-20,20,3,2020,0,0,Venezuela,VE,28870195,33,0
2020-03-21,21,3,2020,3,0,Venezuela,VE,28870195,36,0
2020-03-22,22,3,2020,0,0,Venezuela,VE,28870195,36,0
2020-03-23,23,3,2020,0,0,Venezuela,VE,28870195,36,0
2020-03-24,24,3,2020,48,0,Venezuela,VE,28870195,84,0
2020-03-25,25,3,2020,7,0,Venezuela,VE,28870195,91,0
2020-03-26,26,3,2020,15,0,Venezuela,VE,28870195,106,0
2020-03-27,27,3,2020,1,1,Venezuela,VE,28870195,107,1
2020-03-28,28,3,2020,12,0,Venezuela,VE,28870195,119,1
2020-03-29,29,3,2020,0,0,Venezuela,VE,28870195,119,1
2020-03-30,30,3,2020,0,0,Venezuela,VE,28870195,119,1
2020-03-31,31,3,2020,16,2,Venezuela,VE,28870195,135,3
2020-04-01,1,4,2020,0,0,Venezuela,VE,28870195,135,3
2020-04-02,2,4,2020,8,0,Venezuela,VE,28870195,143,3
2020-04-03,3,4,2020,1,0,Venezuela,VE,28870195,144,3
2020-04-04,4,4,2020,0,0,Venezuela,VE,28870195,144,3
2020-04-05,5,4,2020,0,2,Venezuela,VE,28870195,144,5
2020-04-06,6,4,2020,4,0,Venezuela,VE,28870195,148,5
2020-04-07,7,4,2020,11,0,Venezuela,VE,28870195,159,5
2020-04-08,8,4,2020,7,2,Venezuela,VE,28870195,166,7
2020-04-09,9,4,2020,1,1,Venezuela,VE,28870195,167,8
2020-04-10,10,4,2020,4,1,Venezuela,VE,28870195,171,9
2020-04-11,11,4,2020,4,0,Venezuela,VE,28870195,175,9
2020-04-12,12,4,2020,0,0,Venezuela,VE,28870195,175,9
2020-04-13,13,4,2020,6,0,Venezuela,VE,28870195,181,9
2020-04-14,14,4,2020,8,0,Venezuela,VE,28870195,189,9
