date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-06,6,3,2020,1,0,South_Africa,ZA,57779622,1,0
2020-03-08,8,3,2020,1,0,South_Africa,ZA,57779622,2,0
2020-03-09,9,3,2020,1,0,South_Africa,ZA,57779622,3,0
2020-03-10,10,3,2020,4,0,South_Africa,ZA,57779622,7,0
2020-03-12,12,3,2020,6,0,South_Africa,ZA,57779622,13,0
2020-03-13,13,3,2020,4,0,South_Africa,ZA,57779622,17,0
2020-03-14,14,3,2020,7,0,South_Africa,ZA,57779622,24,0
2020-03-15,15,3,2020,0,0,South_Africa,ZA,57779622,24,0
2020-03-16,16,3,2020,27,0,South_Africa,ZA,57779622,51,0
2020-03-17,17,3,2020,11,0,South_Africa,ZA,57779622,62,0
2020-03-18,18,3,2020,23,0,South_Africa,ZA,57779622,85,0
2020-03-19,19,3,2020,31,0,South_Africa,ZA,57779622,116,0
2020-03-20,20,3,2020,34,0,South_Africa,ZA,57779622,150,0
2020-03-21,21,3,2020,55,0,South_Africa,ZA,57779622,205,0
2020-03-22,22,3,2020,35,0,South_Africa,ZA,57779622,240,0
2020-03-23,23,3,2020,34,0,South_Africa,ZA,57779622,274,0
2020-03-24,24,3,2020,128,0,South_Africa,ZA,57779622,402,0
2020-03-25,25,3,2020,155,0,South_Africa,ZA,57779622,557,0
2020-03-26,26,3,2020,152,0,South_Africa,ZA,57779622,709,0
2020-03-27,27,3,2020,218,2,South_Africa,ZA,57779622,927,2
2020-03-28,28,3,2020,243,0,South_Africa,ZA,57779622,1170,2
2020-03-29,29,3,2020,17,0,South_Africa,ZA,57779622,1187,2
2020-03-30,30,3,2020,93,0,South_Africa,ZA,57779622,1280,2
2020-03-31,31,3,2020,46,1,South_Africa,ZA,57779622,1326,3
2020-04-01,1,4,2020,27,2,South_Africa,ZA,57779622,1353,5
2020-04-02,2,4,2020,27,0,South_Africa,ZA,57779622,1380,5
2020-04-03,3,4,2020,82,0,South_Africa,ZA,57779622,1462,5
2020-04-04,4,4,2020,43,2,South_Africa,ZA,57779622,1505,7
2020-04-05,5,4,2020,80,2,South_Africa,ZA,57779622,1585,9
2020-04-06,6,4,2020,70,2,South_Africa,ZA,57779622,1655,11
2020-04-07,7,4,2020,31,1,South_Africa,ZA,57779622,1686,12
2020-04-08,8,4,2020,63,1,South_Africa,ZA,57779622,1749,13
2020-04-09,9,4,2020,96,5,South_Africa,ZA,57779622,1845,18
2020-04-10,10,4,2020,89,0,South_Africa,ZA,57779622,1934,18
2020-04-11,11,4,2020,69,6,South_Africa,ZA,57779622,2003,24
2020-04-12,12,4,2020,25,1,South_Africa,ZA,57779622,2028,25
2020-04-13,13,4,2020,145,0,South_Africa,ZA,57779622,2173,25
2020-04-14,14,4,2020,99,2,South_Africa,ZA,57779622,2272,27
