date,cases,deaths,country,population,cases_cum,deaths_cum,day_count
2019-12-31,0,0,Sweden,10183175,0,0,0
2020-01-01,0,0,Sweden,10183175,0,0,1
2020-01-02,0,0,Sweden,10183175,0,0,2
2020-01-03,0,0,Sweden,10183175,0,0,3
2020-01-04,0,0,Sweden,10183175,0,0,4
2020-01-05,0,0,Sweden,10183175,0,0,5
2020-01-06,0,0,Sweden,10183175,0,0,6
2020-01-07,0,0,Sweden,10183175,0,0,7
2020-01-08,0,0,Sweden,10183175,0,0,8
2020-01-09,0,0,Sweden,10183175,0,0,9
2020-01-10,0,0,Sweden,10183175,0,0,10
2020-01-11,0,0,Sweden,10183175,0,0,11
2020-01-12,0,0,Sweden,10183175,0,0,12
2020-01-13,0,0,Sweden,10183175,0,0,13
2020-01-14,0,0,Sweden,10183175,0,0,14
2020-01-15,0,0,Sweden,10183175,0,0,15
2020-01-16,0,0,Sweden,10183175,0,0,16
2020-01-17,0,0,Sweden,10183175,0,0,17
2020-01-18,0,0,Sweden,10183175,0,0,18
2020-01-19,0,0,Sweden,10183175,0,0,19
2020-01-20,0,0,Sweden,10183175,0,0,20
2020-01-21,0,0,Sweden,10183175,0,0,21
2020-01-22,0,0,Sweden,10183175,0,0,22
2020-01-23,0,0,Sweden,10183175,0,0,23
2020-01-24,0,0,Sweden,10183175,0,0,24
2020-01-25,0,0,Sweden,10183175,0,0,25
2020-01-26,0,0,Sweden,10183175,0,0,26
2020-01-27,0,0,Sweden,10183175,0,0,27
2020-01-28,0,0,Sweden,10183175,0,0,28
2020-01-29,0,0,Sweden,10183175,0,0,29
2020-01-30,0,0,Sweden,10183175,0,0,30
2020-01-31,0,0,Sweden,10183175,0,0,31
2020-02-01,1,0,Sweden,10183175,1,0,32
2020-02-02,0,0,Sweden,10183175,1,0,33
2020-02-03,0,0,Sweden,10183175,1,0,34
2020-02-04,0,0,Sweden,10183175,1,0,35
2020-02-05,0,0,Sweden,10183175,1,0,36
2020-02-06,0,0,Sweden,10183175,1,0,37
2020-02-07,0,0,Sweden,10183175,1,0,38
2020-02-08,0,0,Sweden,10183175,1,0,39
2020-02-09,0,0,Sweden,10183175,1,0,40
2020-02-10,0,0,Sweden,10183175,1,0,41
2020-02-11,0,0,Sweden,10183175,1,0,42
2020-02-12,0,0,Sweden,10183175,1,0,43
2020-02-13,0,0,Sweden,10183175,1,0,44
2020-02-14,0,0,Sweden,10183175,1,0,45
2020-02-15,0,0,Sweden,10183175,1,0,46
2020-02-16,0,0,Sweden,10183175,1,0,47
2020-02-17,0,0,Sweden,10183175,1,0,48
2020-02-18,0,0,Sweden,10183175,1,0,49
2020-02-19,0,0,Sweden,10183175,1,0,50
2020-02-20,0,0,Sweden,10183175,1,0,51
2020-02-21,0,0,Sweden,10183175,1,0,52
2020-02-22,0,0,Sweden,10183175,1,0,53
2020-02-23,0,0,Sweden,10183175,1,0,54
2020-02-24,0,0,Sweden,10183175,1,0,55
2020-02-25,0,0,Sweden,10183175,1,0,56
2020-02-26,0,0,Sweden,10183175,1,0,57
2020-02-27,1,0,Sweden,10183175,2,0,58
2020-02-28,5,0,Sweden,10183175,7,0,59
2020-02-29,5,0,Sweden,10183175,12,0,60
2020-03-01,1,0,Sweden,10183175,13,0,61
2020-03-02,1,0,Sweden,10183175,14,0,62
2020-03-03,1,0,Sweden,10183175,15,0,63
2020-03-04,9,0,Sweden,10183175,24,0,64
2020-03-05,11,0,Sweden,10183175,35,0,65
2020-03-06,26,0,Sweden,10183175,61,0,66
2020-03-07,76,0,Sweden,10183175,137,0,67
2020-03-08,24,0,Sweden,10183175,161,0,68
2020-03-09,42,0,Sweden,10183175,203,0,69
2020-03-10,45,0,Sweden,10183175,248,0,70
2020-03-11,78,0,Sweden,10183175,326,0,71
2020-03-12,136,1,Sweden,10183175,462,1,72
2020-03-13,158,0,Sweden,10183175,620,1,73
2020-03-14,155,0,Sweden,10183175,775,1,74
2020-03-15,149,0,Sweden,10183175,924,1,75
2020-03-16,108,2,Sweden,10183175,1032,3,76
2020-03-17,89,4,Sweden,10183175,1121,7,77
2020-03-18,46,1,Sweden,10183175,1167,8,78
2020-03-19,134,2,Sweden,10183175,1301,10,79
2020-03-20,122,0,Sweden,10183175,1423,10,80
2020-03-21,200,6,Sweden,10183175,1623,16,81
2020-03-22,123,4,Sweden,10183175,1746,20,82
2020-03-23,160,1,Sweden,10183175,1906,21,83
2020-03-24,110,4,Sweden,10183175,2016,25,84
2020-03-25,256,11,Sweden,10183175,2272,36,85
2020-03-26,238,6,Sweden,10183175,2510,42,86
2020-03-27,296,24,Sweden,10183175,2806,66,87
2020-03-28,240,26,Sweden,10183175,3046,92,88
2020-03-29,401,10,Sweden,10183175,3447,102,89
2020-03-30,253,8,Sweden,10183175,3700,110,90
2020-03-31,328,36,Sweden,10183175,4028,146,91
2020-04-01,407,34,Sweden,10183175,4435,180,92
2020-04-02,512,59,Sweden,10183175,4947,239,93
2020-04-03,519,43,Sweden,10183175,5466,282,94
2020-04-04,612,51,Sweden,10183175,6078,333,95
2020-04-05,365,40,Sweden,10183175,6443,373,96
2020-04-06,387,28,Sweden,10183175,6830,401,97
2020-04-07,376,76,Sweden,10183175,7206,477,98
2020-04-08,487,114,Sweden,10183175,7693,591,99
2020-04-09,726,96,Sweden,10183175,8419,687,100
2020-04-10,722,106,Sweden,10183175,9141,793,101
2020-04-11,544,77,Sweden,10183175,9685,870,102
2020-04-12,466,17,Sweden,10183175,10151,887,103
2020-04-13,332,12,Sweden,10183175,10483,899,104
2020-04-14,465,20,Sweden,10183175,10948,919,105
2020-04-15,497,114,Sweden,10183175,11445,1033,106
2020-04-16,482,170,Sweden,10183175,11927,1203,107
2020-04-17,613,130,Sweden,10183175,12540,1333,108
2020-04-18,676,67,Sweden,10183175,13216,1400,109
2020-04-19,606,111,Sweden,10183175,13822,1511,110
2020-04-20,563,29,Sweden,10183175,14385,1540,111
2020-04-21,392,40,Sweden,10183175,14777,1580,112
2020-04-22,545,185,Sweden,10183175,15322,1765,113
2020-04-23,682,172,Sweden,10183175,16004,1937,114
2020-04-24,751,84,Sweden,10183175,16755,2021,115
2020-04-26,610,40,Sweden,10183175,18177,2192,117
2020-04-27,463,2,Sweden,10183175,18640,2194,118
2020-04-28,286,80,Sweden,10183175,18926,2274,119
2020-04-29,695,81,Sweden,10183175,19621,2355,120
2020-04-30,681,107,Sweden,10183175,20302,2462,121
2020-05-01,790,124,Sweden,10183175,21092,2586,122
2020-05-02,428,67,Sweden,10183175,21520,2653,123
2020-05-03,562,16,Sweden,10183175,22082,2669,124
2020-05-04,235,10,Sweden,10183175,22317,2679,125
2020-05-05,404,90,Sweden,10183175,22721,2769,126
2020-05-06,495,85,Sweden,10183175,23216,2854,127
2020-05-07,702,87,Sweden,10183175,23918,2941,128
2020-05-08,705,99,Sweden,10183175,24623,3040,129
2020-05-09,642,135,Sweden,10183175,25265,3175,130
2020-05-10,656,45,Sweden,10183175,25921,3220,131
2020-05-11,401,5,Sweden,10183175,26322,3225,132
2020-05-12,348,31,Sweden,10183175,26670,3256,133
2020-05-12,348,31,Sweden,10183175,26670,3256,133
2020-05-12,348,31,Sweden,10183175,26670,3256,133
2020-05-12,348,31,Sweden,10183175,26670,3256,133
2020-05-12,348,31,Sweden,10183175,26670,3256,133
2020-05-13,602,57,Sweden,10183175,27272,3313,134
2020-05-13,602,57,Sweden,10183175,27272,3313,134
2020-05-13,602,57,Sweden,10183175,27272,3313,134
2020-05-13,602,57,Sweden,10183175,27272,3313,134
2020-05-13,602,57,Sweden,10183175,27272,3313,134
2020-05-14,637,147,Sweden,10183175,27909,3460,135
2020-05-14,637,147,Sweden,10183175,27909,3460,135
2020-05-14,637,147,Sweden,10183175,27909,3460,135
2020-05-14,637,147,Sweden,10183175,27909,3460,135
2020-05-15,673,69,Sweden,10183175,28582,3529,136
2020-05-15,673,69,Sweden,10183175,28582,3529,136
2020-05-15,673,69,Sweden,10183175,28582,3529,136
2020-05-16,625,117,Sweden,10183175,29207,3646,137
2020-05-16,625,117,Sweden,10183175,29207,3646,137
2020-05-17,470,28,Sweden,10183175,29677,3674,138
